,Unnamed: 0,Path,Upper,Lower,pred
6548,6548,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-70.jpg,"40.5442500114441, -74.4205498695374","40.5325019359589, -74.4092738628387",0
6549,6549,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-71.jpg,"40.5325019359589, -74.4205498695374","40.5207538604736, -74.4092738628387",0
6550,6550,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-72.jpg,"40.5207538604736, -74.4205498695374","40.5090057849884, -74.4092738628387",0
6551,6551,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-73.jpg,"40.5090057849884, -74.4205498695374","40.4972577095032, -74.4092738628387",0
6552,6552,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-74.jpg,"40.4972577095032, -74.4205498695374","40.4855096340179, -74.4092738628387",1
6553,6553,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-75.jpg,"40.4855096340179, -74.4205498695374","40.4737615585327, -74.4092738628387",0
6554,6554,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-76.jpg,"40.4737615585327, -74.4205498695374","40.4620134830475, -74.4092738628387",0
6555,6555,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-77.jpg,"40.4620134830475, -74.4205498695374","40.4502654075623, -74.4092738628387",0
6556,6556,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-78.jpg,"40.4502654075623, -74.4205498695374","40.438517332077, -74.4092738628387",0
6557,6557,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-79.jpg,"40.438517332077, -74.4205498695374","40.4267692565918, -74.4092738628387",610
6558,6558,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-8.jpg,"41.2726306915283, -74.4205498695374","41.2608826160431, -74.4092738628387",0
6559,6559,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-80.jpg,"40.4267692565918, -74.4205498695374","40.4150211811066, -74.4092738628387",0
6560,6560,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-81.jpg,"40.4150211811066, -74.4205498695374","40.4032731056213, -74.4092738628387",0
6561,6561,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-82.jpg,"40.4032731056213, -74.4205498695374","40.3915250301361, -74.4092738628387",0
6562,6562,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-83.jpg,"40.3915250301361, -74.4205498695374","40.3797769546509, -74.4092738628387",0
6563,6563,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-84.jpg,"40.3797769546509, -74.4205498695374","40.3680288791656, -74.4092738628387",0
6564,6564,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-85.jpg,"40.3680288791656, -74.4205498695374","40.3562808036804, -74.4092738628387",0
6565,6565,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-86.jpg,"40.3562808036804, -74.4205498695374","40.3445327281952, -74.4092738628387",0
6566,6566,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-87.jpg,"40.3445327281952, -74.4205498695374","40.33278465271, -74.4092738628387",1
6567,6567,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-88.jpg,"40.33278465271, -74.4205498695374","40.3210365772247, -74.4092738628387",0
6568,6568,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-89.jpg,"40.3210365772247, -74.4205498695374","40.3092885017395, -74.4092738628387",610
6569,6569,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-9.jpg,"41.2608826160431, -74.4205498695374","41.2491345405579, -74.4092738628387",0
6570,6570,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-90.jpg,"40.3092885017395, -74.4205498695374","40.2975404262543, -74.4092738628387",0
6571,6571,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-91.jpg,"40.2975404262543, -74.4205498695374","40.285792350769, -74.4092738628387",0
6572,6572,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-92.jpg,"40.285792350769, -74.4205498695374","40.2740442752838, -74.4092738628387",0
6573,6573,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-93.jpg,"40.2740442752838, -74.4205498695374","40.2622961997986, -74.4092738628387",0
6574,6574,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-94.jpg,"40.2622961997986, -74.4205498695374","40.2505481243134, -74.4092738628387",0
6575,6575,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-95.jpg,"40.2505481243134, -74.4205498695374","40.2388000488281, -74.4092738628387",0
6576,6576,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-96.jpg,"40.2388000488281, -74.4205498695374","40.2270519733429, -74.4092738628387",0
6577,6577,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-97.jpg,"40.2270519733429, -74.4205498695374","40.2153038978577, -74.4092738628387",0
